freq,SMA_S,SMA_L,Signal_Mw,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
25.0,15.0,50.0,10.0,6931.0,0.239,4.692,-4.692,-4.453,109389.0
25.0,15.0,50.0,15.0,5761.0,0.352,4.692,-4.691,-4.34,109389.0
25.0,15.0,50.0,20.0,5143.0,0.747,4.692,-4.688,-3.945,109389.0
25.0,15.0,50.0,25.0,4639.0,2.838,4.692,-4.665,-1.854,109389.0
25.0,15.0,50.0,30.0,4387.0,3.099,4.692,-4.653,-1.593,109389.0
25.0,15.0,50.0,35.0,4163.0,4.321,4.692,-4.625,-0.371,109389.0
25.0,20.0,30.0,5.0,9230.0,0.105,4.692,-4.692,-4.587,109389.0
25.0,20.0,30.0,10.0,6797.0,0.238,4.692,-4.692,-4.454,109389.0
25.0,20.0,30.0,15.0,5727.0,0.716,4.692,-4.69,-3.976,109389.0
25.0,20.0,30.0,20.0,5189.0,0.634,4.692,-4.688,-4.058,109389.0
25.0,20.0,30.0,25.0,4773.0,1.116,4.692,-4.683,-3.576,109389.0
25.0,20.0,30.0,30.0,4449.0,3.899,4.692,-4.646,-0.793,109389.0
25.0,20.0,30.0,35.0,4245.0,6.373,4.692,-4.601,1.681,109389.0
25.0,20.0,40.0,5.0,8705.0,0.223,4.692,-4.692,-4.469,109389.0
25.0,20.0,40.0,10.0,6341.0,0.317,4.692,-4.691,-4.375,109389.0
